
name,address,nature,nightlife,drink,music,dance,history,sports,art,museum,walk,restaurant,movie,Latitude,Longitude
Brookmill Park,"London, United Kingdom",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.47,-0.04
Brookside,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.50002095,-0.1924420356621229
Broomfield Park,"London, United Kingdom",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.58,-0.1
Bruce Castle Museum,"Lordship Lane, London, United Kingdom",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.6,-0.07
Brunel Museum,"Railway Avenue, London, United Kingdom",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,51.497,-0.177
Brunswick Park,"London, United Kingdom",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.57,-0.22
Buccleuch Gardens,"Richmond, United Kingdom",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.46,-0.3
Buckingham Palace Gardens,"London, United Kingdom",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.501,-0.141
Buckland Way Recreation Ground,United Kingdom,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.50002095,-0.1924420356621229
Buddha Lounge,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Buffalo Bar,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Bulstrode Pub,55 Lampton Road,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51.4707517,-0.3669356
Bury Lodge Gardens,"London, United Kingdom",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.5,-0.2
Butterfield Green,"Allen Road, London, United Kingdom",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.585,-0.2
Caledonian Park,"London, United Kingdom",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.55,-0.12
